BLH_ID,type,family,common_name,genus,organism,primer,BC,Barcode,OTU ,Sequences,blh_mix_count,time_period,Year,Date,region,region_original,site_name,host_plant,BCTV,CPt,S_citri,
P15,Crop,Vitaceae,Grape,Vitis,Vitis vinifera,trnF,bc1108,bc1115,NA,10,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P16,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,bc1135,bc1155,NA,73,1, June,2019,43630,Pasco,Pasco,WSU,Russian thistle,0,0,0,
P16,Weed,Geraniaceae,Storksbill,Erodium,Erodium carvifolium,trnF,bc1108,bc1114,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,Russian thistle,0,0,0,
P16,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,bc1135,bc1155,NA,303,1, June,2019,43630,Pasco,Pasco,WSU,Russian thistle,0,0,0,
P16,Crop,Asteraceae,Lettuce,Lactuca,Lactuca sativa,trnF,bc1108,bc1114,NA,13,1, June,2019,43630,Pasco,Pasco,WSU,Russian thistle,0,0,0,
P16,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,bc1108,bc1114,NA,68,1, June,2019,43630,Pasco,Pasco,WSU,Russian thistle,0,0,0,
P16,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,trnF,bc1108,bc1114,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,Russian thistle,0,0,0,
P17,Crop,Apiaceae,Coriander,Coriandrum,Coriandrum sativum,trnF,bc1108,bc1113,NA,3,1, June,2019,43630,Pasco,Pasco,WSU,Russian thistle,0,0,0,
P17,Weed,Geraniaceae,Filaree,Erodium,Erodium cicutarium,ITS,bc1148,bc1155,NA,14,1, June,2019,43630,Pasco,Pasco,WSU,Russian thistle,0,0,0,
P17,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,bc1148,bc1155,NA,317,1, June,2019,43630,Pasco,Pasco,WSU,Russian thistle,0,0,0,
P17,Tree,Anacardiaceae,Chinese Pistachio,Pistacia,Pistacia chinensis,trnF,bc1108,bc1113,NA,12,1, June,2019,43630,Pasco,Pasco,WSU,Russian thistle,0,0,0,
P17,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,bc1108,bc1113,NA,259,1, June,2019,43630,Pasco,Pasco,WSU,Russian thistle,0,0,0,
P18,Pigweed,Amaranthaceae,Purple pigweed,Amaranthus,Amaranthus blitum,trnF,bc1142,bc1176,NA,48,1, June,2019,43636,Paterson,Paterson,475,Pigweed,0,0,0,
